Short name,Date,N.PRB.UL.DrbUsed.Avg[%],N.ThpVol.UL,N.User.RRCConn.Active.UL.Avg
cell230,2025-02-15 07:30:00,0.011538461538461537,1000.056,0.002
cell230,2025-02-15 07:45:00,0.0,0.16,0.001
cell230,2025-02-15 08:00:00,0.0,3.896,0.001
cell230,2025-02-15 08:15:00,0.0038461538461538464,145.552,0.001
cell230,2025-02-15 08:30:00,0.0846153846153846,4532.52,0.014
cell230,2025-02-15 08:45:00,0.06730769230769232,2457.128,0.014
cell230,2025-02-15 09:00:00,0.02115384615384615,987.912,0.007
cell230,2025-02-15 09:15:00,0.011538461538461537,222.6,0.003
cell230,2025-02-15 09:30:00,0.007692307692307693,210.848,0.002
cell230,2025-02-15 09:45:00,0.03653846153846154,1952.104,0.005
cell230,2025-02-15 10:00:00,0.011538461538461537,156.056,0.003
cell230,2025-02-15 10:15:00,0.015384615384615385,339.688,0.006
cell230,2025-02-15 10:30:00,0.023076923076923075,188.6,0.005
cell230,2025-02-15 10:45:00,0.009615384615384616,195.8,0.003
cell230,2025-02-15 11:00:00,0.03076923076923077,448.8,0.007
cell230,2025-02-15 11:15:00,0.017307692307692305,2083.592,0.005
cell230,2025-02-15 11:30:00,0.04615384615384615,3259.784,0.012
cell230,2025-02-15 11:45:00,0.05,1848.176,0.015
cell230,2025-02-15 12:00:00,0.0923076923076923,6531.28,0.021
cell230,2025-02-15 12:15:00,0.20192307692307693,5170.312,0.036
cell230,2025-02-15 12:30:00,0.2846153846153846,6506.976,0.051
cell230,2025-02-15 12:45:00,0.4519230769230769,14454.016,0.109
cell230,2025-02-15 13:00:00,0.038461538461538464,738.936,0.008
cell230,2025-02-15 13:15:00,0.017307692307692305,360.176,0.005
cell230,2025-02-15 13:30:00,0.07692307692307693,3431.512,0.023
cell230,2025-02-15 13:45:00,0.0846153846153846,2590.232,0.024
cell230,2025-02-15 14:00:00,0.0846153846153846,2299.96,0.021
cell230,2025-02-15 14:15:00,0.14038461538461539,2839.52,0.017
cell230,2025-02-15 14:30:00,0.07692307692307693,2183.816,0.014
cell230,2025-02-15 14:45:00,0.1173076923076923,4138.8,0.024
cell230,2025-02-15 15:00:00,0.12307692307692308,3480.96,0.033
cell230,2025-02-15 15:15:00,0.03076923076923077,893.184,0.012
cell230,2025-02-15 15:30:00,0.0423076923076923,1303.104,0.019
cell230,2025-02-15 15:45:00,0.18653846153846154,4684.336,0.046
cell230,2025-02-15 16:00:00,0.21153846153846154,4863.808,0.046
cell230,2025-02-15 16:15:00,0.06153846153846154,4216.28,0.013
cell230,2025-02-15 16:30:00,0.0038461538461538464,55.328,0.002
cell230,2025-02-15 16:45:00,0.04423076923076923,1315.872,0.014
cell230,2025-02-15 17:00:00,0.0423076923076923,1165.696,0.012
cell230,2025-02-15 17:15:00,0.1980769230769231,6436.952,0.045
cell230,2025-02-15 17:30:00,0.21538461538461537,5585.928,0.028
cell230,2025-02-15 17:45:00,0.038461538461538464,2495.192,0.012
cell230,2025-02-15 18:00:00,0.07884615384615384,4678.456,0.021
cell230,2025-02-15 18:15:00,0.03076923076923077,1583.608,0.01
cell230,2025-02-15 18:30:00,0.3,2497.256,0.045
cell230,2025-02-15 18:45:00,0.2,3680.96,0.051
cell230,2025-02-15 19:00:00,0.17115384615384613,5183.944,0.033
cell230,2025-02-15 19:15:00,0.10192307692307692,4294.888,0.045
cell230,2025-02-15 19:30:00,0.06923076923076922,2462.984,0.018
cell230,2025-02-15 19:45:00,0.023076923076923075,467.52,0.008
cell230,2025-02-15 20:00:00,0.20192307692307693,5353.504,0.037
cell230,2025-02-15 20:15:00,0.2980769230769231,9108.512,0.051
cell230,2025-02-15 20:30:00,0.10769230769230768,4691.52,0.023
cell230,2025-02-15 20:45:00,0.08653846153846154,2767.896,0.03
cell230,2025-02-15 21:00:00,0.2846153846153846,12694.336,0.061
cell230,2025-02-15 21:15:00,0.3096153846153846,13886.824,0.044
cell230,2025-02-15 21:30:00,0.17500000000000002,8525.352,0.033
cell230,2025-02-15 21:45:00,0.1903846153846154,11503.456,0.048
cell230,2025-02-15 22:00:00,0.3788461538461539,14629.648,0.051
cell230,2025-02-15 22:15:00,0.0846153846153846,2530.312,0.013
cell230,2025-02-15 22:30:00,0.05576923076923078,1901.256,0.011
cell230,2025-02-15 22:45:00,0.05192307692307692,1784.512,0.011
cell230,2025-02-15 23:00:00,0.08269230769230769,4638.768,0.02
cell230,2025-02-15 23:15:00,0.038461538461538464,2177.512,0.01
cell230,2025-02-15 23:30:00,0.0,1.512,0.0
cell230,2025-02-15 23:45:00,0.0423076923076923,1660.64,0.011
cell230,2025-02-16 00:00:00,0.02115384615384615,814.264,0.005
cell230,2025-02-16 00:15:00,0.0038461538461538464,244.208,0.002
cell230,2025-02-16 00:30:00,0.12115384615384615,4956.672,0.03
cell230,2025-02-16 00:45:00,0.38461538461538464,11479.128,0.064
cell230,2025-02-16 01:00:00,0.0,0.08,0.0
cell230,2025-02-16 01:15:00,0.0019230769230769232,51.136,0.002
cell230,2025-02-16 01:30:00,0.0019230769230769232,28.08,0.001
cell230,2025-02-16 01:45:00,0.0019230769230769232,11.776,0.001
cell230,2025-02-16 02:00:00,0.011538461538461537,401.928,0.004
cell230,2025-02-16 02:15:00,0.009615384615384616,299.776,0.001
cell230,2025-02-16 02:30:00,0.017307692307692305,1279.136,0.006
cell230,2025-02-16 02:45:00,0.0,0.04,0.0
cell230,2025-02-16 03:00:00,0.0,14.432,0.001
cell230,2025-02-16 03:15:00,0.38846153846153847,32726.592,0.005
cell230,2025-02-16 03:30:00,0.0019230769230769232,14.48,0.002
cell230,2025-02-16 03:45:00,0.0038461538461538464,7.176,0.003
cell230,2025-02-16 04:00:00,0.0019230769230769232,24.648,0.001
cell230,2025-02-16 04:15:00,0.0,0.0,0.0
cell230,2025-02-16 04:30:00,0.0,0.12,0.0
cell230,2025-02-16 04:45:00,0.0,0.08,0.0
cell230,2025-02-16 05:00:00,0.0,0.04,0.0
cell230,2025-02-16 05:15:00,0.0,0.24,0.001
cell230,2025-02-16 05:30:00,0.0,0.12,0.0
cell230,2025-02-16 05:45:00,0.0,0.04,0.0
cell230,2025-02-16 06:00:00,0.0,0.04,0.0
cell230,2025-02-16 06:15:00,0.0,0.04,0.0
cell230,2025-02-16 06:30:00,0.05,2034.944,0.014
cell230,2025-02-16 06:45:00,0.0,0.12,0.0
cell230,2025-02-16 07:00:00,0.0,0.08,0.0
cell230,2025-02-16 07:15:00,0.019230769230769232,639.864,0.006
cell230,2025-02-16 07:30:00,0.019230769230769232,1090.912,0.004
cell230,2025-02-16 07:45:00,0.005769230769230769,206.112,0.002
cell230,2025-02-16 08:00:00,0.05192307692307692,1134.616,0.009
cell230,2025-02-16 08:15:00,0.0038461538461538464,25.808,0.002
cell230,2025-02-16 08:30:00,0.25,9835.0,0.049
cell230,2025-02-16 08:45:00,0.007692307692307693,55.88,0.002
cell230,2025-02-16 09:00:00,0.0,0.72,0.0
cell230,2025-02-16 09:15:00,0.0019230769230769232,70.512,0.001
cell230,2025-02-16 09:30:00,0.011538461538461537,158.416,0.004
cell230,2025-02-16 09:45:00,0.005769230769230769,215.8,0.003
cell230,2025-02-16 10:00:00,0.0038461538461538464,79.568,0.002
cell230,2025-02-16 10:15:00,0.007692307692307693,5.184,0.002
cell230,2025-02-16 10:30:00,0.3788461538461539,13301.656,0.046
cell230,2025-02-16 10:45:00,0.12692307692307692,5425.28,0.021
cell230,2025-02-16 11:00:00,0.03076923076923077,673.08,0.01
cell230,2025-02-16 11:15:00,0.11153846153846156,9550.128,0.03
cell230,2025-02-16 11:30:00,0.01346153846153846,342.312,0.001
cell230,2025-02-16 11:45:00,0.22115384615384617,10671.84,0.069
cell230,2025-02-16 12:00:00,0.2269230769230769,7887.888,0.017
cell230,2025-02-16 12:15:00,1.1173076923076923,21863.528,0.197
cell230,2025-02-16 12:30:00,0.025,694.024,0.007
cell230,2025-02-16 12:45:00,0.011538461538461537,353.864,0.004
cell230,2025-02-16 13:00:00,0.032692307692307694,721.328,0.012
cell230,2025-02-16 13:15:00,0.038461538461538464,1058.992,0.015
cell230,2025-02-16 13:30:00,0.1692307692307692,8577.696,0.057
cell230,2025-02-16 13:45:00,0.125,3381.664,0.026
cell230,2025-02-16 14:00:00,0.4615384615384615,14689.376,0.057
cell230,2025-02-16 14:15:00,0.21346153846153845,19565.096,0.023
cell230,2025-02-16 14:30:00,0.7519230769230769,20306.984,0.109
cell230,2025-02-16 14:45:00,0.3923076923076923,9624.912,0.053
cell230,2025-02-16 15:00:00,0.025,770.216,0.005
cell230,2025-02-16 15:15:00,0.007692307692307693,87.608,0.003
cell230,2025-02-16 15:30:00,0.01346153846153846,673.288,0.006
cell230,2025-02-16 15:45:00,0.17884615384615385,8746.128,0.033
cell230,2025-02-16 16:00:00,0.11153846153846156,4147.328,0.032
cell230,2025-02-16 16:15:00,0.15384615384615385,3930.744,0.037
cell230,2025-02-16 16:30:00,0.25769230769230766,7758.288,0.047
cell230,2025-02-16 16:45:00,0.015384615384615385,454.256,0.006
cell230,2025-02-16 17:00:00,0.04615384615384615,3064.992,0.008
cell230,2025-02-16 17:15:00,0.04615384615384615,2665.992,0.013
cell230,2025-02-16 17:30:00,0.06730769230769232,1495.28,0.013
cell230,2025-02-16 17:45:00,0.01346153846153846,472.824,0.004
cell230,2025-02-16 18:00:00,0.01346153846153846,743.944,0.004
cell230,2025-02-16 18:15:00,0.08269230769230769,1399.112,0.01
cell230,2025-02-16 18:30:00,0.08846153846153847,3804.56,0.025
cell230,2025-02-16 18:45:00,0.12884615384615383,5897.712,0.023
cell230,2025-02-16 19:00:00,0.11153846153846156,7353.384,0.028
cell230,2025-02-16 19:15:00,0.05384615384615384,2616.736,0.011
cell230,2025-02-16 19:30:00,0.017307692307692305,516.016,0.005
cell230,2025-02-16 19:45:00,1.8673076923076923,126679.912,0.327
cell230,2025-02-16 20:00:00,2.496153846153846,199987.216,0.504
cell230,2025-02-16 20:15:00,2.646153846153846,186280.616,0.208
cell230,2025-02-16 20:30:00,0.0,0.12,0.0
cell230,2025-02-16 20:45:00,0.04807692307692308,1916.464,0.011
cell230,2025-02-16 21:00:00,0.01346153846153846,259.0,0.002
cell230,2025-02-16 21:15:00,0.02115384615384615,757.128,0.01
cell230,2025-02-16 21:30:00,0.03653846153846154,1461.368,0.009
cell230,2025-02-16 21:45:00,0.02692307692307692,1133.936,0.008
cell230,2025-02-16 22:00:00,0.028846153846153844,1330.976,0.002
cell230,2025-02-16 22:15:00,0.0,0.08,0.0
cell230,2025-02-16 22:30:00,0.3288461538461539,28689.576,0.018
cell230,2025-02-16 22:45:00,0.015384615384615385,622.424,0.005
cell230,2025-02-16 23:00:00,0.017307692307692305,937.92,0.008
cell230,2025-02-16 23:15:00,0.0,0.12,0.0
cell230,2025-02-16 23:30:00,0.0423076923076923,1193.136,0.015
cell230,2025-02-16 23:45:00,0.0019230769230769232,121.232,0.001
cell230,2025-02-17 00:00:00,0.0,0.04,0.0
cell230,2025-02-17 00:15:00,0.005769230769230769,320.496,0.002
cell230,2025-02-17 00:30:00,0.032692307692307694,2274.168,0.009
cell230,2025-02-17 00:45:00,0.04038461538461539,2247.536,0.013
cell230,2025-02-17 01:00:00,0.18269230769230768,10353.592,0.066
cell230,2025-02-17 01:15:00,0.18653846153846154,11113.864,0.073
cell230,2025-02-17 01:30:00,0.10769230769230768,6512.496,0.041
cell230,2025-02-17 01:45:00,0.05384615384615384,3467.624,0.022
cell230,2025-02-17 02:00:00,0.0846153846153846,5389.68,0.04
cell230,2025-02-17 02:15:00,0.08846153846153847,5321.8,0.039
cell230,2025-02-17 02:30:00,0.03076923076923077,1620.424,0.015
cell230,2025-02-17 02:45:00,0.0038461538461538464,49.048,0.001
cell230,2025-02-17 03:00:00,0.005769230769230769,154.264,0.002
cell230,2025-02-17 03:15:00,0.0019230769230769232,29.944,0.001
cell230,2025-02-17 03:30:00,0.0019230769230769232,81.6,0.001
cell230,2025-02-17 03:45:00,0.025,1488.168,0.008
cell230,2025-02-17 04:00:00,0.015384615384615385,728.472,0.006
cell230,2025-02-17 04:15:00,0.0,0.08,0.0
cell230,2025-02-17 04:30:00,0.0019230769230769232,18.616,0.0
cell230,2025-02-17 04:45:00,0.005769230769230769,193.712,0.002
cell230,2025-02-17 05:00:00,0.0019230769230769232,116.352,0.001
cell230,2025-02-17 05:15:00,0.0038461538461538464,112.776,0.001
cell230,2025-02-17 05:30:00,0.007692307692307693,324.752,0.003
cell230,2025-02-17 05:45:00,0.032692307692307694,682.8,0.006
cell230,2025-02-17 06:00:00,0.0,0.04,0.0
cell230,2025-02-17 06:15:00,0.0,0.04,0.0
cell230,2025-02-17 06:30:00,0.023076923076923075,1002.704,0.005
cell230,2025-02-17 06:45:00,0.03461538461538461,1630.2,0.011
cell230,2025-02-17 07:00:00,0.3288461538461539,21990.544,0.057
cell230,2025-02-17 07:15:00,0.02115384615384615,619.264,0.004
cell230,2025-02-17 07:30:00,0.01346153846153846,758.208,0.004
cell230,2025-02-17 07:45:00,0.2423076923076923,9773.776,0.035
cell230,2025-02-17 08:00:00,0.3230769230769231,9870.12,0.075
cell230,2025-02-17 08:15:00,0.14807692307692308,5303.128,0.031
cell230,2025-02-17 08:30:00,0.11538461538461538,2751.76,0.027
cell230,2025-02-17 08:45:00,0.1,3553.552,0.025
cell230,2025-02-17 09:00:00,0.10576923076923077,2324.472,0.03
cell230,2025-02-17 09:15:00,0.21538461538461537,5600.888,0.039
cell230,2025-02-17 09:30:00,0.3288461538461539,21252.784,0.056
cell230,2025-02-17 09:45:00,1.8384615384615384,100996.52,0.059
cell230,2025-02-17 10:00:00,0.13846153846153844,3886.584,0.049
cell230,2025-02-17 10:15:00,0.19615384615384615,11926.592,0.057
cell230,2025-02-17 10:30:00,0.07115384615384615,1763.264,0.021
cell230,2025-02-17 10:45:00,0.1423076923076923,4736.96,0.021
cell230,2025-02-17 11:00:00,0.019230769230769232,274.776,0.007
cell230,2025-02-17 11:15:00,0.08653846153846154,2612.272,0.024
cell230,2025-02-17 11:30:00,0.5865384615384616,32631.664,0.111
cell230,2025-02-17 11:45:00,0.1,2890.952,0.024
cell230,2025-02-17 12:00:00,0.3576923076923077,22304.536,0.066
cell230,2025-02-17 12:15:00,0.11923076923076924,2854.088,0.025
cell230,2025-02-17 12:30:00,0.14038461538461539,4734.624,0.031
cell230,2025-02-17 12:45:00,0.7096153846153845,171564.784,0.012
cell230,2025-02-17 13:00:00,0.032692307692307694,864.976,0.006
cell230,2025-02-17 13:15:00,0.05384615384615384,1529.968,0.011
cell230,2025-02-17 13:30:00,0.09038461538461538,1484.448,0.018
cell230,2025-02-17 13:45:00,0.2634615384615385,24975.656,0.058
